后跳,4:50
三角暴风,4:46:00
前冲,4:40:00
转身,4:38:00
后跳,4:34:00
三风点名,4:31:00
全屏风,4:24:00
红圈点名,4:20:00
裂空域,4:14:00
前冲,4:07
转身,4:04
三风点名,4:01
后跳,3:52
三角暴风,3:48
前冲,3:43
转身,3:40
三风点名,3:36
全屏风,3:29
前冲,3:21
转身,3:19
召唤伙伴,3:15
三风点名,3:13
前冲,3:07
转身,3:05
后跳,2:56
三角暴风,2:53
前冲,2:48
转身,2:46
全屏风,2:42
三风点名,2:37
后跳,2:27
疾风弹,2:23
前冲,2:19
转身,2:17
后跳,2:10
三风点名,2:06
全屏风,2:00
红圈点名,1:55
裂空域,1:48
三角暴风,1:42
前冲,1:33
转身,1:31
疾风弹2号，单吃,1:27
红圈点名,1:23
裂空域,1:17
三风点名,1:10
全屏风,1:03
前冲,0:59
转身,0:57
全屏风,0:49
裂空域,0:44
红圈点名,0:38
前冲,0:31
三角暴风,0:29
后跳,0:23
三风点名,0:19
疾风弹3,0:13
红圈点名,0:07